text,source,timestamp
"Chuyển tiền gấp cho tôi, tôi đang có việc gấp làm, mai tôi trả. STK SHB 190317060636.",sms_scam,2024-05-22
"Bạn đã thắng lớn trong chương trình khuyến mãi của Sacombank, nhận ngay Voucher Grab 300.000 VND tại http://vaynhanh60-verify.com.",sms_scam,2024-05-22
Chúc mừng bạn đã trúng thưởng Tai nghe AirPods Pro. Vui lòng truy cập http://nhanthuong70.xyz để nhận giải thưởng.,sms_scam,2024-05-22
"Em là sinh viên cần tiền đóng học, nhận được khách kinh doanh. Xem anh em tại http://nhanthuong40-verify.com.",sms_scam,2024-05-22
"Bạn có một gói quà tặng từ Best Express, nhận ngay tại http://support13.info. Đừng bỏ lỡ cơ hội này!",sms_scam,2024-05-22
Cảnh báo bảo mật: Tài khoản Public Bank Vietnam của bạn có dấu hiệu bị xâm nhập. Xác thực ngay tại http://nhanthuong93.cc để bảo vệ tài khoản của bạn.,sms_scam,2024-05-22
Thông báo: Bạn có một gói quà tặng từ Foody. Nhận ngay tại http://verify42.info trước khi hết hạn.,sms_scam,2024-05-22
Thông báo: Bạn có một gói quà tặng từ Lalamove. Nhận ngay tại http://nhanthuong41.info.,sms_scam,2024-05-22
"Đăng ký vay tiền nhanh trong ngày, duyệt hồ sơ 100%. Truy cập http://verify99.info để biết thêm chi tiết và nhận khoản vay.",sms_scam,2024-05-22
"Đăng ký vay tiền nhanh trong ngày, duyệt hồ sơ 100%. Truy cập http://secure70.info để biết thêm chi tiết.",sms_scam,2024-05-22
Bạn đã được chọn để nhận khoản vay nhanh với lãi suất thấp. Đăng ký ngay tại http://secure57.xyz để được hỗ trợ nhanh chóng.,sms_scam,2024-05-22
Thông báo: Bạn có một gói quà tặng từ Now. Nhận ngay tại http://vaynhanh15-secure.org trước khi hết hạn.,sms_scam,2024-05-22
Chúc mừng thuê bao quý khách đã trúng thưởng Tai nghe AirPods Pro. Truy cập http://nhanthuong96.top để nhận thưởng ngay.,sms_scam,2024-05-22
"Hệ thống phát hiện giao dịch lạ, vui lòng xác minh tài khoản HDBank của bạn tại http://tcb22-bank.net để tránh bị khóa và bảo vệ tài sản của bạn.",sms_scam,2024-05-22
Cảnh báo bảo mật: Tài khoản VIB của bạn có dấu hiệu bị xâm nhập. Xác thực ngay tại http://vaynhanh53.online.,sms_scam,2024-05-22
Chúc mừng thuê bao quý khách đã trúng thưởng Ipad Pro. Truy cập http://secure60.info để nhận thưởng ngay.,sms_scam,2024-05-22
Phát hiện giao dịch bất thường tại tài khoản Citibank Vietnam số tiền 900.000 VND. ủy giao dịch tại http://secure39.xyz.,sms_scam,2024-05-22
Cảnh báo bảo mật: Tài khoản BIDV của bạn có dấu hiệu bị xâm nhập. Xác thực ngay tại http://vaynhanh18-verify.com để bảo vệ tài khoản của bạn.,sms_scam,2024-05-22
Thông báo: Bạn có một gói quà tặng từ Lazada. Nhận ngay tại http://vcb76-bank.net trước khi hết hạn.,sms_scam,2024-05-22
