text,source,timestamp
Lịch hẹn với bác sĩ vào thứ 4 lúc 11 giờ sáng tại phòng khám số 3.,sms_safe,2024-05-22
Chúc mừng Thanh đã hoàn thành khóa học trực tuyến về kỹ năng mềm!,sms_safe,2024-05-22
Lịch hẹn với bác sĩ vào thứ 6 lúc 10 giờ sáng tại phòng khám số 5.,sms_safe,2024-05-22
Saigonbank: Quý khách vừa nhận được 2200.000 VND từ Phương. Số dư mới: 2200.0000 VND.,sms_safe,2024-05-22
OceanBank: Số dư tài khoản thay đổi -1000.000 VND. ội dung: Thanh toán tiền điện.,sms_safe,2024-05-22
Chúc mừng bạn đã nhận được phần thưởng từ chương trình khuyến mãi Giao Hang Nhanh!,sms_safe,2024-05-22
VPBank: Quý khách vừa nhận được 3900.000 VND từ Phương. Số dư mới: 3900.0000 VND.,sms_safe,2024-05-22
"Tối nay họp nhóm lúc 8h nhé mọi người, nhớ mang laptop.",sms_safe,2024-05-22
Đơn hàng từ GHN Express đã được giao thành công. Cảm ơn bạn đã mua sắm tại cửa hàng chúng tôi!,sms_safe,2024-05-22
Đơn hàng từ Giao Hang Nhanh đã được giao thành công. Cảm ơn bạn đã mua sắm tại cửa hàng chúng tôi!,sms_safe,2024-05-22
Mã OTP của bạn là 544830. Vui lòng giữ bí mật mã này để bảo vệ tài khoản của bạn.,sms_safe,2024-05-22
Lịch hẹn với bác sĩ vào thứ 6 lúc 11 giờ sáng tại phòng khám số 3.,sms_safe,2024-05-22
Bác sĩ hẹn tai khám vào thứ 7 tuần sau lúc 9 giờ sáng.,sms_safe,2024-05-22
MBBank: Giao dịch chuyển khoản 3500.000 VND thành công. Số dư hiện tại: 3500.0000 VND.,sms_safe,2024-05-22
"Hôm nay trời đẹp quá, đi cà phê không Tường ơi?",sms_safe,2024-05-22
Chúc mừng bạn đã nhận được phần thưởng từ chương trình khuyến mãi Viettel!,sms_safe,2024-05-22
Lịch hẹn với bác sĩ vào thứ 6 lúc 10 giờ sáng tại phòng khám số 5.,sms_safe,2024-05-22
"Tối nay họp nhóm lúc 8h nhé mọi người, nhớ mang laptop.",sms_safe,2024-05-22
Mã OTP của bạn là 723598. Vui lòng không chia sẻ mã này cho bất kỳ ai.,sms_safe,2024-05-22
"Tối nay họp nhóm lúc 8h nhé mọi người, nhớ mang laptop.",sms_safe,2024-05-22
Public Bank Vietnam: Số dư tài khoản thay đổi -3100.000 VND. ội dung: Thanh toán tiền điện.,sms_safe,2024-05-22
Cảm ơn quý khách đã sử dụng dịch vụ của chúng tôi. Chúc quý khách một ngày tốt lành.,sms_safe,2024-05-22
SCB: Số dư tài khoản thay đổi -900.000 VND. ội dung: Thanh toán tiền điện.,sms_safe,2024-05-22
Chúc mừng sinh nhật Việt! Chúc bạn tuổi mới nhiều niềm vui và thành công.,sms_safe,2024-05-22
Chúc mừng sinh nhật Duyên! Chúc bạn tuổi mới nhiều niềm vui và thành công.,sms_safe,2024-05-22
Nam A Bank: Giao dịch rút tiền 2300.000 VND thành công. Số dư hiện tại: 2300.0000 VND.,sms_safe,2024-05-22
Đơn hàng Techcom Securities của bạn đang được giao. Shipper sẽ gọi trước khi đến.,sms_safe,2024-05-22
ABBank: Giao dịch chuyển khoản 2900.000 VND thành công. Số dư hiện tại: 2900.0000 VND.,sms_safe,2024-05-22
SHB: Giao dịch chuyển khoản 100.000 VND thành công. Số dư hiện tại: 100.0000 VND.,sms_safe,2024-05-22
Đơn hàng từ MB Securities đã được giao thành công. Cảm ơn bạn đã mua sắm tại cửa hàng chúng tôi!,sms_safe,2024-05-22
LienVietPostBank: Giao dịch chuyển khoản 4100.000 VND thành công. Số dư hiện tại: 4100.0000 VND.,sms_safe,2024-05-22
GPBank: Quý khách vừa nhận được 2700.000 VND từ Duyên. Số dư mới: 2700.0000 VND.,sms_safe,2024-05-22
Lịch hẹn với bác sĩ vào thứ 3 lúc 10 giờ sáng tại phòng khám số 5.,sms_safe,2024-05-22
Đơn hàng từ AloShip đã được xác nhận và sẽ được giao trong vòng 2-3 ngày làm việc.,sms_safe,2024-05-22
